"Staten Island Rolling Sales File.  All Sales From January 1, 2011 - December 31, 2011.",,,,,,,,,,,,,,,,,,,,
Sales File as of 03/30/2012  Coop Sales Files as of 04/06/2012,,,,,,,,,,,,,,,,,,,,
"Neighborhood Name 04/01/12, Descriptive Data is as of 04/01/12",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,ANNADALE                 ,05  TAX CLASS 1 VACANT LAND                 ,1B,6426,65, ,V0, SYCAMORE STREET                           ,            ,10312,0,0,0,"4,000",0,0, 1 , V0 ,$0,1/25/2011
5,ANNADALE                 ,05  TAX CLASS 1 VACANT LAND                 ,1B,6431,1, ,V0, DISCALA LANE                              ,            ,10312,0,0,0,"1,265,461",0,0, 1 , V0 ,$0,2/8/2011
5,ANNADALE                 ,05  TAX CLASS 1 VACANT LAND                 ,1B,6454,30, ,V0, ZEPHYR AVENUE                             ,            ,10312,0,0,0,"11,250",0,0, 1 , V0 ,$0,1/20/2011
5,ANNADALE                 ,05  TAX CLASS 1 VACANT LAND                 ,1B,6454,30, ,V0, ZEPHYR AVENUE                             ,            ,10312,0,0,0,"11,250",0,0, 1 , V0 ,$0,1/20/2011
5,ANNADALE                 ,05  TAX CLASS 1 VACANT LAND                 ,1B,6475,290, ,V0, NICOLOSI LOOP                             ,            ,10312,0,0,0,"12,265",0,0, 1 , V0 ,$0,6/10/2011
5,ANNADALE                 ,05  TAX CLASS 1 VACANT LAND                 ,1,6475,520, ,A5, ARBUTUS AVENUE                            ,            ,10312,1,0,1,"22,410","1,871",2011, 1 , V0 ,$0,4/5/2011
5,ANNADALE                 ,05  TAX CLASS 1 VACANT LAND                 ,1B,6475,525, ,V0, ARBUTUS AVENUE                            ,            ,10312,0,0,0,"7,104",0,0, 1 , V0 ,$0,4/5/2011
5,ANNADALE                 ,05  TAX CLASS 1 VACANT LAND                 ,1B,6475,527, ,V0, ARBUTUS AVENUE                            ,            ,10312,0,0,0,"3,040",0,0, 1 , V0 ,$0,4/5/2011
5,ANNADALE                 ,21  OFFICE BUILDINGS                        ,4,6249,421, ,O9, 908 ANNADALE ROAD                         ,            ,10312,0,2,2,"3,795","1,850",1899, 4 , O9 ,"$645,640",6/16/2011
5,ARDEN HEIGHTS            ,01  ONE FAMILY HOMES                        ,1,5724,83, ,A5, 32 BILLINGS STREET                        ,            ,10312,1,0,1,"2,600","2,304",2000, 1 , A5 ,"$462,000",12/7/2011
5,ARDEN HEIGHTS            ,01  ONE FAMILY HOMES                        ,1,5725,42, ,A5, 32 WINSTON STREET                         ,            ,10312,1,0,1,"2,900","1,420",1997, 1 , A5 ,"$329,000",6/20/2011
5,ARDEN HEIGHTS            ,01  ONE FAMILY HOMES                        ,1,5725,48, ,A1, 18 WINSTON STREET                         ,            ,10312,1,0,1,"4,000","2,630",2004, 1 , A1 ,"$645,000",7/26/2011
5,ARDEN HEIGHTS            ,01  ONE FAMILY HOMES                        ,1,5725,184, ,A5, 36 HINTON STREET                          ,            ,10312,1,0,1,"2,658","2,284",2003, 1 , A5 ,"$455,000",6/29/2011
5,ARDEN HEIGHTS            ,01  ONE FAMILY HOMES                        ,1,5726,48, ,A9, 18 BENSON STREET                          ,            ,10312,1,0,1,"2,000","1,275",1986, 1 , A9 ,"$350,000",9/22/2011
5,ARDEN HEIGHTS            ,01  ONE FAMILY HOMES                        ,1,5726,82, ,A5, 1274 ARTHUR KILL ROAD                     ,            ,10312,1,0,1,"3,350","2,142",2005, 1 , A5 ,"$370,000",4/2/2011
5,ARDEN HEIGHTS            ,01  ONE FAMILY HOMES                        ,1,5727,39, ,A5, 106 KENILWORTH AVENUE                     ,            ,10312,1,0,1,"1,275","1,220",1996, 1 , A5 ,"$350,000",3/29/2011
5,ARDEN HEIGHTS            ,01  ONE FAMILY HOMES                        ,1,5727,98, ,A5, 208 KENILWORTH AVENUE                     ,            ,10312,1,0,1,"1,366","1,360",1998, 1 , A5 ,"$370,000",3/9/2011
5,ARDEN HEIGHTS            ,01  ONE FAMILY HOMES                        ,1,5727,99, ,A5, 210 KENILWORTH AVENUE                     ,            ,10312,1,0,1,"1,366","1,360",1998, 1 , A5 ,"$350,000",11/1/2011
5,ARDEN HEIGHTS            ,01  ONE FAMILY HOMES                        ,1,5727,117, ,A5, 52 KENILWORTH AVENUE                      ,            ,10312,1,0,1,"2,426","1,890",2002, 1 , A5 ,"$435,000",6/29/2011
5,ARDEN HEIGHTS            ,01  ONE FAMILY HOMES                        ,1,5735,317, ,A5, 149 PRESENTATIOJN CIRCLE                  ,            ,10312,1,0,1,"3,863","2,202",2011, 1 , A5 ,$0,8/23/2011
